3 2 4
0 P1 1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8
0 P2 8,7,6,5,4,3,2,1,8,7,6,5,4,3,2,1
0 P3 1,3,5,7,2,4,6,8,1,3,5,7,2,4,6,8
1 P4 2,4,6,8,1,3,5,7,2,4,6,8,1,3,5,7
1 P5 1,2,1,2,3,4,3,4,5,6,5,6,7,8,7,8
2 P6 8,1,7,2,6,3,5,4,8,1,7,2,6,3,5,4
2 P7 1,4,7,2,5,8,3,6,1,4,7,2,5,8,3,6
3 P8 6,3,8,5,2,7,4,1,6,3,8,5,2,7,4,1
3 P9 1,5,2,6,3,7,4,8,1,5,2,6,3,7,4,8
4 P10 8,4,7,3,6,2,5,1,8,4,7,3,6,2,5,1
4 P11 2,5,3,6,4,7,1,8,2,5,3,6,4,7,1,8
5 P12 7,1,6,2,5,3,8,4,7,1,6,2,5,3,8,4
5 P13 1,2,3,4,1,2,3,4,5,6,7,8,5,6,7,8
6 P14 8,7,6,5,8,7,6,5,4,3,2,1,4,3,2,1
6 P15 1,8,2,7,3,6,4,5,1,8,2,7,3,6,4,5
7 P16 5,4,3,2,1,8,7,6,5,4,3,2,1,8,7,6
7 P17 2,6,1,5,3,7,4,8,2,6,1,5,3,7,4,8
8 P18 8,3,7,2,6,1,5,4,8,3,7,2,6,1,5,4
8 P19 4,8,1,5,2,6,3,7,4,8,1,5,2,6,3,7
9 P20 7,2,8,3,1,6,4,5,7,2,8,3,1,6,4,5
